PROC_REA,Nome_Regiao,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
303010037,Centro-Oeste,239,2034,12,47326850.0,39513360.0,48605972.0
303010037,Nordeste,120,2025,1,37221740.0,25520502.0,45748430.0
303010037,Nordeste,121,2025,2,38050612.0,25791502.0,45416228.0
303010037,Nordeste,122,2025,3,38511700.0,26148188.0,44969550.0
303010037,Nordeste,123,2025,4,38673788.0,26473274.0,44517930.0
303010037,Nordeste,124,2025,5,38659410.0,26748522.0,44083444.0
303010037,Nordeste,125,2025,6,38541310.0,26965566.0,43657704.0
303010037,Nordeste,126,2025,7,38370044.0,27144992.0,43233930.0
303010037,Nordeste,127,2025,8,38166400.0,27275934.0,42816064.0
303010037,Nordeste,128,2025,9,37935970.0,27372504.0,42404260.0
303010037,Nordeste,129,2025,10,37684068.0,27432508.0,41994656.0
303010037,Nordeste,130,2025,11,37423344.0,27467796.0,41593610.0
303010037,Nordeste,131,2025,12,37139410.0,27481002.0,41191280.0
303010037,Nordeste,132,2026,1,34488628.0,26787630.0,43969410.0
303010037,Nordeste,133,2026,2,36036384.0,26992838.0,44466584.0
303010037,Nordeste,134,2026,3,37803572.0,27536880.0,44632620.0
303010037,Nordeste,135,2026,4,38922136.0,28151912.0,44323310.0
303010037,Nordeste,136,2026,5,39375076.0,28650650.0,43856924.0
303010037,Nordeste,137,2026,6,39458304.0,29002646.0,43421772.0
303010037,Nordeste,138,2026,7,39382290.0,29243890.0,43036964.0
303010037,Nordeste,139,2026,8,39233690.0,29408114.0,42689996.0
303010037,Nordeste,140,2026,9,39049588.0,29520006.0,42362388.0
303010037,Nordeste,141,2026,10,38843670.0,29596566.0,42044264.0
303010037,Nordeste,142,2026,11,38629336.0,29642214.0,41743660.0
303010037,Nordeste,143,2026,12,38408268.0,29669760.0,41446228.0
303010037,Nordeste,144,2027,1,44083196.0,33700560.0,53036628.0
303010037,Nordeste,145,2027,2,45882480.0,34061344.0,53143964.0
303010037,Nordeste,146,2027,3,47085370.0,34610270.0,52824620.0
303010037,Nordeste,147,2027,4,47605604.0,35108736.0,52394340.0
303010037,Nordeste,148,2027,5,47734536.0,35479588.0,52004360.0
303010037,Nordeste,149,2027,6,47675212.0,35738084.0,51650960.0
303010037,Nordeste,150,2027,7,47524410.0,35919250.0,51317380.0
303010037,Nordeste,151,2027,8,47333348.0,36038240.0,50991696.0
303010037,Nordeste,152,2027,9,47121304.0,36123092.0,50678416.0
303010037,Nordeste,153,2027,10,46893476.0,36178876.0,50364760.0
303010037,Nordeste,154,2027,11,46665156.0,36207940.0,50061636.0
303010037,Nordeste,155,2027,12,46440424.0,36223068.0,49779892.0
303010037,Nordeste,156,2028,1,49607010.0,38394276.0,58211132.0
303010037,Nordeste,157,2028,2,51412804.0,38742228.0,58327610.0
303010037,Nordeste,158,2028,3,52576740.0,39288356.0,58049260.0
303010037,Nordeste,159,2028,4,53068400.0,39784320.0,57675564.0
303010037,Nordeste,160,2028,5,53193656.0,40145400.0,57340800.0
303010037,Nordeste,161,2028,6,53135656.0,40394340.0,57037668.0
303010037,Nordeste,162,2028,7,52986984.0,40561332.0,56749556.0
303010037,Nordeste,163,2028,8,52795210.0,40668236.0,56458812.0
303010037,Nordeste,164,2028,9,52594692.0,40741916.0,56179304.0
303010037,Nordeste,165,2028,10,52375256.0,40789268.0,55903740.0
303010037,Nordeste,166,2028,11,52154550.0,40814640.0,55632820.0
303010037,Nordeste,167,2028,12,51940124.0,40827252.0,55373668.0
303010037,Nordeste,168,2029,1,58431500.0,45029030.0,68108560.0
303010037,Nordeste,169,2029,2,60571116.0,45436764.0,68259940.0
303010037,Nordeste,170,2029,3,61909076.0,46078052.0,67969700.0
303010037,Nordeste,171,2029,4,62482170.0,46657230.0,67589880.0
303010037,Nordeste,172,2029,5,62632868.0,47074412.0,67258480.0
303010037,Nordeste,173,2029,6,62573764.0,47356016.0,66956276.0
303010037,Nordeste,174,2029,7,62422132.0,47550160.0,66663820.0
303010037,Nordeste,175,2029,8,62217332.0,47665300.0,66371252.0
303010037,Nordeste,176,2029,9,61994508.0,47740364.0,66085264.0
303010037,Nordeste,177,2029,10,61761296.0,47785460.0,65804530.0
303010037,Nordeste,178,2029,11,61523444.0,47810348.0,65525600.0
303010037,Nordeste,179,2029,12,61296570.0,47821840.0,65271636.0
303010037,Nordeste,180,2030,1,58989830.0,49834804.0,64761344.0
303010037,Nordeste,181,2030,2,60411090.0,50136650.0,64905530.0
303010037,Nordeste,182,2030,3,61270496.0,50591110.0,64784450.0
303010037,Nordeste,183,2030,4,61636908.0,50980220.0,64607864.0
303010037,Nordeste,184,2030,5,61745864.0,51255068.0,64459420.0
303010037,Nordeste,185,2030,6,61721844.0,51442230.0,64321496.0
303010037,Nordeste,186,2030,7,61638084.0,51560900.0,64181424.0
303010037,Nordeste,187,2030,8,61520628.0,51634904.0,64033836.0
303010037,Nordeste,188,2030,9,61398132.0,51675988.0,63891100.0
303010037,Nordeste,189,2030,10,61261504.0,51701324.0,63744908.0
303010037,Nordeste,190,2030,11,61123544.0,51713256.0,63600388.0
303010037,Nordeste,191,2030,12,60996830.0,51716908.0,63471932.0
303010037,Nordeste,192,2031,1,71850180.0,58314036.0,80089710.0
303010037,Nordeste,193,2031,2,74097580.0,58794164.0,80417896.0
303010037,Nordeste,194,2031,3,75437210.0,59445124.0,80335110.0
303010037,Nordeste,195,2031,4,76018856.0,59998384.0,80166900.0
303010037,Nordeste,196,2031,5,76200310.0,60391964.0,80015816.0
303010037,Nordeste,197,2031,6,76189850.0,60647184.0,79873544.0
303010037,Nordeste,198,2031,7,76077600.0,60808996.0,79715416.0
303010037,Nordeste,199,2031,8,75919016.0,60901736.0,79538936.0
303010037,Nordeste,200,2031,9,75727110.0,60952870.0,79345740.0
303010037,Nordeste,201,2031,10,75537850.0,60983224.0,79165850.0
303010037,Nordeste,202,2031,11,75345020.0,60993460.0,78988630.0
303010037,Nordeste,203,2031,12,75152130.0,60994740.0,78813610.0
303010037,Nordeste,204,2032,1,70750270.0,61835790.0,75566810.0
303010037,Nordeste,205,2032,2,72249660.0,62179250.0,75833630.0
303010037,Nordeste,206,2032,3,73121130.0,62626416.0,75848536.0
303010037,Nordeste,207,2032,4,73507910.0,62997572.0,75804856.0
303010037,Nordeste,208,2032,5,73637010.0,63252584.0,75758600.0
303010037,Nordeste,209,2032,6,73639400.0,63419776.0,75709640.0
303010037,Nordeste,210,2032,7,73583800.0,63521584.0,75647140.0
303010037,Nordeste,211,2032,8,73495990.0,63581224.0,75567960.0
303010037,Nordeste,212,2032,9,73384070.0,63607544.0,75477500.0
303010037,Nordeste,213,2032,10,73271490.0,63621616.0,75387150.0
303010037,Nordeste,214,2032,11,73153340.0,63621496.0,75295750.0
303010037,Nordeste,215,2032,12,73039020.0,63623200.0,75207190.0
303010037,Nordeste,216,2033,1,81852900.0,70620040.0,87572296.0
303010037,Nordeste,217,2033,2,83854580.0,71084780.0,87975610.0
303010037,Nordeste,218,2033,3,85014740.0,71638890.0,88072300.0
303010037,Nordeste,219,2033,4,85522810.0,72099200.0,88082380.0
303010037,Nordeste,220,2033,5,85708320.0,72413976.0,88087770.0
303010037,Nordeste,221,2033,6,85727620.0,72610376.0,88064584.0
303010037,Nordeste,222,2033,7,85669580.0,72731656.0,88022600.0
303010037,Nordeste,223,2033,8,85566370.0,72801890.0,87953464.0
303010037,Nordeste,224,2033,9,85443730.0,72834810.0,87878000.0
303010037,Nordeste,225,2033,10,85302060.0,72843000.0,87783680.0
303010037,Nordeste,226,2033,11,85159820.0,72842730.0,87693144.0
303010037,Nordeste,227,2033,12,85017490.0,72831336.0,87605710.0
303010037,Nordeste,228,2034,1,82556740.0,74223050.0,86420250.0
303010037,Nordeste,229,2034,2,84098350.0,74586500.0,86763130.0
303010037,Nordeste,230,2034,3,84977280.0,75008930.0,86889976.0
303010037,Nordeste,231,2034,4,85370750.0,75354940.0,86941540.0
303010037,Nordeste,232,2034,5,85524600.0,75591020.0,86983336.0
303010037,Nordeste,233,2034,6,85554296.0,75739680.0,86997270.0
303010037,Nordeste,234,2034,7,85522650.0,75823944.0,86992296.0
303010037,Nordeste,235,2034,8,85457260.0,75875160.0,86970060.0
303010037,Nordeste,236,2034,9,85377590.0,75892960.0,86936230.0
