PROC_REA,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
303060212,124,2025,5,42361496.0,30873448.0,61458470.0
303060212,125,2025,6,42528510.0,30954820.0,61498690.0
303060212,126,2025,7,42644990.0,30997300.0,61571812.0
303060212,127,2025,8,42719484.0,31009186.0,61651610.0
303060212,128,2025,9,42748500.0,30999606.0,61701600.0
303060212,129,2025,10,42751430.0,30980572.0,61726440.0
303060212,130,2025,11,42736920.0,30959070.0,61732910.0
303060212,131,2025,12,42716384.0,30936580.0,61737504.0
303060212,132,2026,1,43530484.0,33604856.0,63398490.0
303060212,133,2026,2,43925236.0,33802080.0,63667264.0
303060212,134,2026,3,44278532.0,34009864.0,63807188.0
303060212,135,2026,4,44583270.0,34196870.0,63871116.0
303060212,136,2026,5,44848176.0,34352530.0,63920716.0
303060212,137,2026,6,45067012.0,34466988.0,63983540.0
303060212,138,2026,7,45234336.0,34535030.0,64070976.0
303060212,139,2026,8,45347070.0,34570690.0,64145932.0
303060212,140,2026,9,45403150.0,34575630.0,64180570.0
303060212,141,2026,10,45440664.0,34575370.0,64210690.0
303060212,142,2026,11,45452452.0,34563040.0,64206890.0
303060212,143,2026,12,45453664.0,34547290.0,64206524.0
303060212,144,2027,1,43433452.0,38216590.0,52893376.0
303060212,145,2027,2,43580744.0,38331572.0,53060304.0
303060212,146,2027,3,43741556.0,38448212.0,53166576.0
303060212,147,2027,4,43903790.0,38556092.0,53235068.0
303060212,148,2027,5,44048144.0,38643188.0,53290028.0
303060212,149,2027,6,44173424.0,38707440.0,53345550.0
303060212,150,2027,7,44267300.0,38745108.0,53402056.0
303060212,151,2027,8,44335064.0,38761224.0,53458204.0
303060212,152,2027,9,44373984.0,38762260.0,53490640.0
303060212,153,2027,10,44398450.0,38758120.0,53512584.0
303060212,154,2027,11,44411660.0,38751764.0,53521770.0
303060212,155,2027,12,44414200.0,38739644.0,53522172.0
303060212,156,2028,1,44643004.0,40685616.0,52117160.0
303060212,157,2028,2,44762630.0,40762904.0,52244856.0
303060212,158,2028,3,44893876.0,40845480.0,52335016.0
303060212,159,2028,4,45020270.0,40921820.0,52401336.0
303060212,160,2028,5,45134280.0,40983136.0,52456436.0
303060212,161,2028,6,45232870.0,41030380.0,52515100.0
303060212,162,2028,7,45308164.0,41055824.0,52572224.0
303060212,163,2028,8,45363244.0,41065220.0,52627000.0
303060212,164,2028,9,45397176.0,41065140.0,52661244.0
303060212,165,2028,10,45415104.0,41059584.0,52679930.0
303060212,166,2028,11,45428184.0,41053708.0,52694700.0
303060212,167,2028,12,45430696.0,41044156.0,52695708.0
303060212,168,2029,1,45662216.0,42283680.0,52363572.0
303060212,169,2029,2,45773396.0,42341140.0,52473250.0
303060212,170,2029,3,45892372.0,42405636.0,52559190.0
303060212,171,2029,4,46002268.0,42466664.0,52619980.0
303060212,172,2029,5,46102844.0,42517480.0,52678324.0
303060212,173,2029,6,46188484.0,42555372.0,52735124.0
303060212,174,2029,7,46255308.0,42574612.0,52794100.0
303060212,175,2029,8,46302976.0,42581760.0,52844670.0
303060212,176,2029,9,46331776.0,42578024.0,52881068.0
303060212,177,2029,10,46349188.0,42573230.0,52903468.0
303060212,178,2029,11,46358470.0,42565436.0,52915172.0
303060212,179,2029,12,46360504.0,42556104.0,52919212.0
303060212,180,2030,1,45316116.0,44193480.0,47524050.0
303060212,181,2030,2,45352692.0,44207308.0,47555056.0
303060212,182,2030,3,45389732.0,44225100.0,47579372.0
303060212,183,2030,4,45424544.0,44242480.0,47598070.0
303060212,184,2030,5,45455920.0,44257588.0,47616050.0
303060212,185,2030,6,45482804.0,44268480.0,47634492.0
303060212,186,2030,7,45504412.0,44274052.0,47654480.0
303060212,187,2030,8,45517516.0,44273548.0,47670936.0
303060212,188,2030,9,45526290.0,44271012.0,47683030.0
303060212,189,2030,10,45530892.0,44268480.0,47689760.0
303060212,190,2030,11,45532628.0,44264680.0,47693584.0
303060212,191,2030,12,45532976.0,44260880.0,47695036.0
303060212,192,2031,1,45873904.0,45116724.0,47404816.0
303060212,193,2031,2,45899812.0,45123610.0,47425708.0
303060212,194,2031,3,45924508.0,45133076.0,47442080.0
303060212,195,2031,4,45947548.0,45143320.0,47455480.0
303060212,196,2031,5,45967708.0,45151844.0,47467610.0
303060212,197,2031,6,45984810.0,45157356.0,47480828.0
303060212,198,2031,7,45998320.0,45159772.0,47495140.0
303060212,199,2031,8,46007444.0,45158996.0,47506916.0
303060212,200,2031,9,46012710.0,45156496.0,47515616.0
303060212,201,2031,10,46015170.0,45153480.0,47520784.0
303060212,202,2031,11,46015610.0,45150036.0,47522684.0
303060212,203,2031,12,46014990.0,45146680.0,47523956.0
303060212,204,2032,1,45937736.0,45252376.0,47377428.0
303060212,205,2032,2,45964028.0,45256690.0,47397764.0
303060212,206,2032,3,45987704.0,45264110.0,47413228.0
303060212,207,2032,4,46008324.0,45271280.0,47426068.0
303060212,208,2032,5,46026228.0,45277930.0,47437650.0
303060212,209,2032,6,46041770.0,45282590.0,47450680.0
303060212,210,2032,7,46053100.0,45283284.0,47463804.0
303060212,211,2032,8,46061180.0,45281900.0,47475396.0
303060212,212,2032,9,46065490.0,45278708.0,47483636.0
303060212,213,2032,10,46067332.0,45275252.0,47488344.0
303060212,214,2032,11,46067332.0,45271710.0,47490520.0
303060212,215,2032,12,46066100.0,45268084.0,47490880.0
303060212,216,2033,1,46071724.0,45704560.0,46853424.0
303060212,217,2033,2,46085960.0,45706304.0,46864150.0
303060212,218,2033,3,46098010.0,45708920.0,46872464.0
303060212,219,2033,4,46108470.0,45712056.0,46879172.0
303060212,220,2033,5,46117356.0,45714764.0,46885252.0
303060212,221,2033,6,46125096.0,45716332.0,46892316.0
303060212,222,2033,7,46130730.0,45716244.0,46899384.0
303060212,223,2033,8,46134424.0,45714764.0,46905824.0
303060212,224,2033,9,46136096.0,45712320.0,46910028.0
303060212,225,2033,10,46136708.0,45710224.0,46912444.0
303060212,226,2033,11,46136532.0,45707960.0,46913428.0
303060212,227,2033,12,46135390.0,45705692.0,46913520.0
303060212,228,2034,1,46152730.0,45911108.0,46678330.0
303060212,229,2034,2,46162504.0,45911460.0,46685810.0
303060212,230,2034,3,46170340.0,45912684.0,46691150.0
303060212,231,2034,4,46177120.0,45914260.0,46695692.0
303060212,232,2034,5,46182584.0,45915490.0,46699612.0
303060212,233,2034,6,46187250.0,45916096.0,46704156.0
303060212,234,2034,7,46190684.0,45915576.0,46708964.0
303060212,235,2034,8,46192710.0,45914172.0,46713150.0
303060212,236,2034,9,46193770.0,45912420.0,46716004.0
303060212,237,2034,10,46193770.0,45910580.0,46717516.0
303060212,238,2034,11,46193330.0,45908740.0,46718230.0
303060212,239,2034,12,46192360.0,45906908.0,46718320.0
303140151,120,2025,1,92192900.0,63701880.0,136179780.0
303140151,121,2025,2,92920230.0,63881956.0,136592600.0
303140151,122,2025,3,93409420.0,64193790.0,136651780.0
303140151,123,2025,4,93780920.0,64500372.0,136627260.0
303140151,124,2025,5,94097520.0,64736396.0,136652820.0
303140151,125,2025,6,94352190.0,64857764.0,136887070.0
303140151,126,2025,7,94492300.0,64856524.0,137288180.0
303140151,127,2025,8,94480770.0,64729484.0,137755070.0
303140151,128,2025,9,94375770.0,64558344.0,138136850.0
303140151,129,2025,10,94226300.0,64383976.0,138421680.0
303140151,130,2025,11,94049620.0,64211424.0,138661620.0
303140151,131,2025,12,93883110.0,64060468.0,138863550.0
303140151,132,2026,1,102126110.0,72202830.0,156167500.0
303140151,133,2026,2,103481224.0,72679100.0,156828080.0
303140151,134,2026,3,104346170.0,73223710.0,156911550.0
303140151,135,2026,4,104955150.0,73715850.0,156809840.0
303140151,136,2026,5,105436700.0,74097864.0,156757500.0
303140151,137,2026,6,105813040.0,74347304.0,156894510.0
303140151,138,2026,7,106031030.0,74420940.0,157211420.0
303140151,139,2026,8,106073304.0,74354260.0,157568660.0
303140151,140,2026,9,106002520.0,74233250.0,157855340.0
303140151,141,2026,10,105856240.0,74073560.0,158071970.0
303140151,142,2026,11,105667224.0,73918740.0,158162450.0
303140151,143,2026,12,105477330.0,73769576.0,158300060.0
303140151,144,2027,1,104585870.0,84273704.0,138020960.0
303140151,145,2027,2,104979176.0,84684264.0,138052290.0
303140151,146,2027,3,105366744.0,85062744.0,138012000.0
303140151,147,2027,4,105726090.0,85375470.0,137985950.0
303140151,148,2027,5,106043780.0,85607680.0,138014900.0
303140151,149,2027,6,106286570.0,85731210.0,138157650.0
303140151,150,2027,7,106443180.0,85754430.0,138388160.0
303140151,151,2027,8,106476900.0,85686904.0,138621170.0
303140151,152,2027,9,106420856.0,85575190.0,138800000.0
303140151,153,2027,10,106314540.0,85449920.0,138896940.0
303140151,154,2027,11,106175730.0,85324030.0,138941180.0
303140151,155,2027,12,106017080.0,85193940.0,138968750.0
303140151,156,2028,1,113335840.0,91816300.0,152621490.0
303140151,157,2028,2,113881250.0,92260264.0,152715550.0
303140151,158,2028,3,114411610.0,92692420.0,152749920.0
303140151,159,2028,4,114869480.0,93042590.0,152763330.0
303140151,160,2028,5,115242550.0,93294220.0,152832400.0
303140151,161,2028,6,115539890.0,93449870.0,153010900.0
303140151,162,2028,7,115723830.0,93481610.0,153281090.0
303140151,163,2028,8,115770630.0,93414590.0,153554110.0
303140151,164,2028,9,115703304.0,93296536.0,153712660.0
303140151,165,2028,10,115577580.0,93169210.0,153800030.0
303140151,166,2028,11,115405330.0,93025910.0,153812660.0
303140151,167,2028,12,115218160.0,92894000.0,153791540.0
303140151,168,2029,1,116043010.0,98471260.0,149434770.0
303140151,169,2029,2,116605890.0,98852344.0,149567360.0
303140151,170,2029,3,117095980.0,99214250.0,149626430.0
303140151,171,2029,4,117519320.0,99524330.0,149665810.0
303140151,172,2029,5,117863890.0,99755990.0,149745470.0
303140151,173,2029,6,118135550.0,99901470.0,149900080.0
303140151,174,2029,7,118299250.0,99936536.0,150120670.0
303140151,175,2029,8,118336710.0,99886220.0,150321820.0
303140151,176,2029,9,118284810.0,99791580.0,150431660.0
303140151,177,2029,10,118169340.0,99688856.0,150458930.0
303140151,178,2029,11,118029464.0,99575970.0,150447740.0
303140151,179,2029,12,117867496.0,99467200.0,150394100.0
303140151,180,2030,1,114308216.0,105971580.0,129664880.0
303140151,181,2030,2,114591784.0,106154460.0,129735380.0
303140151,182,2030,3,114832024.0,106331380.0,129772260.0
303140151,183,2030,4,115033050.0,106475464.0,129802950.0
303140151,184,2030,5,115200790.0,106589660.0,129849500.0
303140151,185,2030,6,115321930.0,106657384.0,129921590.0
303140151,186,2030,7,115393656.0,106669790.0,130016296.0
303140151,187,2030,8,115410824.0,106641520.0,130098150.0
303140151,188,2030,9,115375170.0,106587020.0,130138360.0
303140151,189,2030,10,115319730.0,106529704.0,130150776.0
303140151,190,2030,11,115249810.0,106474456.0,130132660.0
303140151,191,2030,12,115165210.0,106413950.0,130101380.0
303140151,192,2031,1,117254450.0,111467490.0,128282380.0
303140151,193,2031,2,117474720.0,111590230.0,128341610.0
303140151,194,2031,3,117660840.0,111714800.0,128380536.0
303140151,195,2031,4,117810620.0,111822030.0,128408696.0
303140151,196,2031,5,117932480.0,111904180.0,128445440.0
303140151,197,2031,6,118023160.0,111953920.0,128499350.0
303140151,198,2031,7,118074050.0,111962040.0,128564560.0
303140151,199,2031,8,118086210.0,111941544.0,128616070.0
303140151,200,2031,9,118063464.0,111906104.0,128639140.0
303140151,201,2031,10,118027890.0,111869176.0,128640850.0
303140151,202,2031,11,117979496.0,111831420.0,128626370.0
303140151,203,2031,12,117923030.0,111791110.0,128600616.0
303140151,204,2032,1,118253670.0,113690910.0,127430070.0
303140151,205,2032,2,118456850.0,113788760.0,127491576.0
303140151,206,2032,3,118623480.0,113888424.0,127537790.0
303140151,207,2032,4,118756370.0,113977090.0,127569900.0
303140151,208,2032,5,118859470.0,114042320.0,127605430.0
303140151,209,2032,6,118936800.0,114083220.0,127651690.0
303140151,210,2032,7,118982860.0,114094750.0,127704776.0
303140151,211,2032,8,118993304.0,114077780.0,127749350.0
303140151,212,2032,9,118981960.0,114053416.0,127766420.0
303140151,213,2032,10,118952230.0,114024270.0,127765190.0
303140151,214,2032,11,118917520.0,113994480.0,127751790.0
303140151,215,2032,12,118874210.0,113964910.0,127727670.0
303140151,216,2033,1,117864110.0,116487400.0,120654350.0
303140151,217,2033,2,117925060.0,116514510.0,120675300.0
303140151,218,2033,3,117974320.0,116543180.0,120690260.0
303140151,219,2033,4,118013256.0,116567416.0,120701304.0
303140151,220,2033,5,118043880.0,116586750.0,120713050.0
303140151,221,2033,6,118067740.0,116598330.0,120728700.0
303140151,222,2033,7,118080580.0,116600776.0,120743670.0
303140151,223,2033,8,118083960.0,116594320.0,120757490.0
303140151,224,2033,9,118080800.0,116586750.0,120763016.0
303140151,225,2033,10,118071790.0,116577200.0,120762100.0
303140151,226,2033,11,118061880.0,116568080.0,120758880.0
303140151,227,2033,12,118049730.0,116558970.0,120751270.0
303140151,228,2034,1,118693864.0,117386250.0,121481730.0
303140151,229,2034,2,118755000.0,117410210.0,121504440.0
303140151,230,2034,3,118804620.0,117436190.0,121522984.0
303140151,231,2034,4,118842930.0,117458810.0,121536650.0
303140151,232,2034,5,118873750.0,117476520.0,121550330.0
303140151,233,2034,6,118895300.0,117485700.0,121565870.0
303140151,234,2034,7,118909130.0,117487496.0,121583490.0
303140151,235,2034,8,118912984.0,117481670.0,121596480.0
