PA_PROC_ID,Nome_Regiao,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
202020380,Nordeste,124,2025,5,6071874.0,5635824.0,6556882.5
202020380,Nordeste,125,2025,6,6116019.0,5662724.0,6593874.0
202020380,Nordeste,126,2025,7,6146354.0,5679907.0,6623035.0
202020380,Nordeste,127,2025,8,6165298.5,5690452.5,6646059.5
202020380,Nordeste,128,2025,9,6176162.5,5694882.5,6664351.0
202020380,Nordeste,129,2025,10,6181919.5,5694540.5,6678762.0
202020380,Nordeste,130,2025,11,6183417.0,5690555.5,6690887.5
202020380,Nordeste,131,2025,12,6182957.0,5683971.0,6700645.0
202020380,Nordeste,132,2026,1,6080310.5,5852527.0,6555888.0
202020380,Nordeste,133,2026,2,6207458.0,5948944.5,6619644.0
202020380,Nordeste,134,2026,3,6296342.0,6005651.5,6666442.5
202020380,Nordeste,135,2026,4,6354942.5,6038790.0,6697552.5
202020380,Nordeste,136,2026,5,6392147.5,6059592.5,6716979.0
202020380,Nordeste,137,2026,6,6415042.5,6072001.5,6730111.0
202020380,Nordeste,138,2026,7,6428510.0,6079255.5,6739559.0
202020380,Nordeste,139,2026,8,6435269.5,6082700.5,6745950.5
202020380,Nordeste,140,2026,9,6438296.0,6082909.0,6751344.0
202020380,Nordeste,141,2026,10,6438867.0,6080856.0,6755466.0
202020380,Nordeste,142,2026,11,6437098.5,6077255.5,6758327.0
202020380,Nordeste,143,2026,12,6434116.0,6071949.0,6760551.0
202020380,Nordeste,144,2027,1,6348709.5,6130220.5,6753804.0
202020380,Nordeste,145,2027,2,6463605.5,6225427.0,6803406.5
202020380,Nordeste,146,2027,3,6538680.5,6277066.5,6836153.0
202020380,Nordeste,147,2027,4,6585559.5,6306149.5,6855635.0
202020380,Nordeste,148,2027,5,6613485.0,6322468.5,6866077.5
202020380,Nordeste,149,2027,6,6629613.5,6332371.0,6872419.5
202020380,Nordeste,150,2027,7,6638667.0,6337391.5,6876903.5
202020380,Nordeste,151,2027,8,6643062.0,6339489.0,6879993.0
202020380,Nordeste,152,2027,9,6644139.0,6339392.0,6881798.0
202020380,Nordeste,153,2027,10,6643632.0,6337343.0,6883478.5
202020380,Nordeste,154,2027,11,6641757.0,6333965.5,6885119.5
202020380,Nordeste,155,2027,12,6639401.0,6330046.5,6885973.0
202020380,Nordeste,156,2028,1,6693115.0,6446953.0,7045707.5
202020380,Nordeste,157,2028,2,6791997.0,6529352.0,7084983.5
202020380,Nordeste,158,2028,3,6854536.5,6573286.0,7108698.5
202020380,Nordeste,159,2028,4,6892642.0,6597421.5,7122311.0
202020380,Nordeste,160,2028,5,6914710.5,6610484.0,7129147.0
202020380,Nordeste,161,2028,6,6926617.0,6617800.5,7132466.0
202020380,Nordeste,162,2028,7,6932704.0,6621772.0,7134085.0
202020380,Nordeste,163,2028,8,6934952.0,6622434.5,7135037.5
202020380,Nordeste,164,2028,9,6934740.5,6621803.0,7135629.0
202020380,Nordeste,165,2028,10,6932790.0,6619372.5,7135609.0
202020380,Nordeste,166,2028,11,6929544.0,6615825.5,7135425.0
202020380,Nordeste,167,2028,12,6926730.0,6612041.0,7135540.5
202020380,Nordeste,168,2029,1,6911948.5,6680463.0,7165327.0
202020380,Nordeste,169,2029,2,6980504.0,6738453.5,7189613.0
202020380,Nordeste,170,2029,3,7022383.0,6769448.0,7203044.0
202020380,Nordeste,171,2029,4,7046487.0,6785257.0,7209352.5
202020380,Nordeste,172,2029,5,7059441.5,6793564.5,7211367.5
202020380,Nordeste,173,2029,6,7065489.5,6797855.0,7211684.0
202020380,Nordeste,174,2029,7,7067336.0,6799041.5,7210734.5
202020380,Nordeste,175,2029,8,7066487.0,6798918.5,7209662.5
202020380,Nordeste,176,2029,9,7064439.0,6796986.0,7208555.5
202020380,Nordeste,177,2029,10,7061306.5,6794277.5,7207015.5
202020380,Nordeste,178,2029,11,7057529.5,6790941.0,7205703.0
202020380,Nordeste,179,2029,12,7053754.5,6787173.0,7204349.0
202020380,Nordeste,180,2030,1,7037071.0,6825867.0,7221456.5
202020380,Nordeste,181,2030,2,7083044.0,6866038.5,7235540.0
202020380,Nordeste,182,2030,3,7110325.5,6887135.5,7242064.0
202020380,Nordeste,183,2030,4,7125042.0,6897613.5,7243922.5
202020380,Nordeste,184,2030,5,7132323.0,6902555.0,7243439.0
202020380,Nordeste,185,2030,6,7134554.5,6904523.5,7241477.0
202020380,Nordeste,186,2030,7,7134044.0,6904569.5,7239447.0
202020380,Nordeste,187,2030,8,7131724.5,6903398.0,7237003.5
202020380,Nordeste,188,2030,9,7128732.5,6901344.0,7235085.0
202020380,Nordeste,189,2030,10,7125042.0,6898541.0,7233208.5
202020380,Nordeste,190,2030,11,7121115.5,6895245.5,7231029.0
202020380,Nordeste,191,2030,12,7117076.0,6891702.0,7229346.5
202020380,Nordeste,192,2031,1,7201519.0,7013749.0,7330633.0
